ID,Age,Customer_Segment,Region,Preferred_Channel,Employment_Status,Annual_Income,Spending_Score,Savings_Amount,Loan_Amount,Years_with_Bank,Transaction_Count,Online_Purchases,In_Person_Purchases,Customer_Tenure,Credit_Score,Avg_Transaction_Value,Num_Bounced_Checks,Account_Balance,Referral_Count,Loyalty_Score,Has_Credit_Card,Has_Loan,target
1,50,Gold,East,Phone,Self-Employed,46057.39,79,20265.32,19677.31,14,37,10,19,6,400.69,87.08,0,9896.39,6,6.0,0.0,1.0,0.0
2,60,Platinum,West,Branch,Self-Employed,52209.47,83,6997.78,42916.34,6,21,13,22,4,341.29,45.74,0,5602.75,3,2.0,1.0,0.0,1.0
3,69,Bronze,East,Online,Unemployed,67074.22,42,2684.09,29660.53,11,26,9,21,1,288.61,36.93,1,5736.54,2,10.0,0.0,0.0,1.0
4,36,Gold,West,Branch,Unemployed,81655.14,94,20754.05,15651.52,26,32,5,26,11,135.38,92.5,0,10768.9,0,6.0,1.0,1.0,1.0
5,47,Gold,West,Phone,Unemployed,52705.08,84,5071.86,22037.73,28,33,12,22,8,519.28,51.74,0,54.33,0,9.0,1.0,1.0,1.0
6,37,Platinum,East,Phone,Self-Employed,53482.92,49,4233.36,34998.13,22,31,5,23,12,123.37,74.04,0,0.0,3,9.0,0.0,1.0,0.0
7,41,Bronze,South,Phone,Unemployed,60248.35,65,6205.9,28907.95,21,29,12,14,2,204.41,88.75,0,6506.73,1,4.0,0.0,1.0,1.0
8,36,Bronze,West,Phone,Retired,50482.15,27,5582.74,28482.16,22,29,6,23,11,277.24,21.63,0,7002.19,3,5.0,1.0,1.0,1.0
9,26,Gold,East,Branch,Self-Employed,52217.31,15,11443.09,22273.18,17,20,10,21,5,383.29,59.1,0,415.63,2,5.0,0.0,1.0,0.0
10,37,Silver,North,Online,Retired,40130.63,11,16195.13,28735.7,7,26,9,12,2,366.29,38.6,0,5326.65,4,2.0,1.0,1.0,1.0
11,64,Gold,East,Branch,Retired,73971.66,51,13214.43,22404.41,17,19,10,19,5,515.93,57.94,1,2461.75,3,9.0,1.0,0.0,1.0
12,57,Gold,North,Online,Unemployed,45090.12,90,3565.23,25659.37,29,30,10,17,5,283.66,66.44,0,7034.22,0,1.0,0.0,1.0,0.0
13,45,Gold,West,Phone,Self-Employed,47391.89,65,672.21,30644.15,25,32,10,14,3,203.11,53.81,0,6454.95,2,9.0,0.0,0.0,1.0
14,47,Gold,East,Online,Unemployed,49321.19,29,2546.73,18149.95,21,27,14,22,2,322.91,32.03,0,5231.98,3,4.0,1.0,1.0,1.0
15,45,Platinum,East,Phone,Unemployed,52975.9,58,14189.53,20767.49,9,35,8,18,13,298.9,27.78,0,3777.33,1,8.0,1.0,1.0,1.0
16,55,Bronze,North,Branch,Unemployed,79278.94,19,24323.43,0.0,25,39,15,23,9,190.69,91.06,1,8075.9,4,4.0,1.0,0.0,0.0
17,18,Platinum,East,Online,Self-Employed,45772.33,23,18686.53,11102.64,24,26,7,19,4,396.25,24.63,0,5633.7,1,2.0,1.0,1.0,1.0
18,34,Platinum,East,Branch,Self-Employed,55244.75,1,2618.48,7159.62,27,43,5,23,14,192.04,61.18,2,2209.3,1,5.0,0.0,0.0,0.0
19,52,Platinum,West,Phone,Unemployed,41553.78,51,12076.78,29016.06,5,25,5,22,8,368.33,69.73,0,5504.02,2,10.0,0.0,1.0,0.0
20,53,Gold,East,Branch,Retired,56145.28,27,1624.23,6692.0,14,30,8,23,5,221.99,64.16,0,4899.43,3,9.0,1.0,1.0,0.0
21,46,Silver,South,Phone,Retired,47537.76,78,5001.74,31484.91,10,21,13,18,2,286.5,74.66,1,7999.34,3,4.0,0.0,0.0,0.0
22,39,Bronze,North,Phone,Self-Employed,74028.48,59,25535.14,27808.91,18,22,10,18,5,243.37,90.65,0,3778.59,6,4.0,1.0,1.0,1.0
23,56,Silver,East,Phone,Employed,43395.11,96,14765.49,25833.52,11,29,12,14,12,402.58,53.49,0,7491.82,4,5.0,0.0,0.0,1.0
24,61,Platinum,North,Branch,Unemployed,78779.1,50,11315.98,42751.34,11,25,16,22,10,197.23,48.9,0,1619.56,4,6.0,1.0,1.0,0.0
25,44,Platinum,North,Branch,Unemployed,44074.3,65,21920.03,23352.25,29,27,5,23,13,447.75,66.55,0,5003.41,3,3.0,1.0,0.0,1.0
26,22,Silver,North,Online,Employed,59278.35,86,32766.79,5560.72,19,33,13,17,4,315.48,28.55,0,7848.51,5,5.0,0.0,0.0,0.0
27,27,Silver,East,Online,Self-Employed,51538.12,77,17842.57,7081.58,19,28,13,33,10,266.53,51.33,1,6773.29,1,5.0,1.0,0.0,1.0
28,37,Silver,East,Branch,Retired,29627.38,62,5196.65,22321.61,1,20,6,23,9,286.59,56.58,0,2902.94,1,3.0,0.0,0.0,0.0
